r(km) nb(fm^-3) Ye Ymu Yp Yn mu_n(MeV) mu_p(MeV) mu_e(MeV) mu_mu(MeV)
4.57260376E-03 4.29526028E-01 7.92034306E-02 4.78539396E-02 0.127057 0.872943 2.26292685E+02 2.97800149E+01 1.97805970E+02 9.21476004E+01
1.37178113E-02 4.29525708E-01 7.92033695E-02 4.78538736E-02 0.127057 0.872943 2.26292332E+02 2.97797616E+01 1.97805870E+02 9.21475004E+01
2.57484969E-02 4.29524802E-01 7.92031960E-02 4.78536867E-02 0.127057 0.872943 2.26291330E+02 2.97790437E+01 1.97805587E+02 9.21472169E+01
4.14371607E-02 4.29522791E-01 7.92028111E-02 4.78532718E-02 0.127056 0.872944 2.26289108E+02 2.97774504E+01 1.97804958E+02 9.21465878E+01
6.11452927E-02 4.29518934E-01 7.92020727E-02 4.78524761E-02 0.127055 0.872945 2.26284845E+02 2.97743944E+01 1.97803751E+02 9.21453811E+01
8.50723914E-02 4.29512260E-01 7.92007951E-02 4.78510991E-02 0.127052 0.872948 2.26277469E+02 2.97691063E+01 1.97801663E+02 9.21432929E+01
1.13367165E-01 4.29501548E-01 7.91987447E-02 4.78488893E-02 0.127048 0.872952 2.26265631E+02 2.97606196E+01 1.97798311E+02 9.21399416E+01
1.46164582E-01 4.29485310E-01 7.91956364E-02 4.78455394E-02 0.127041 0.872959 2.26247686E+02 2.97477545E+01 1.97793231E+02 9.21348612E+01
1.83595243E-01 4.29461762E-01 7.91911292E-02 4.78406817E-02 0.127032 0.872968 2.26221664E+02 2.97290999E+01 1.97785864E+02 9.21274941E+01
2.25786898E-01 4.29428811E-01 7.91848224E-02 4.78338844E-02 0.127019 0.872981 2.26185252E+02 2.97029972E+01 1.97775555E+02 9.21171849E+01
2.72864333E-01 4.29384026E-01 7.91762513E-02 4.78246465E-02 0.127001 0.872999 2.26135768E+02 2.96675245E+01 1.97761543E+02 9.21031736E+01
3.24949146E-01 4.29324624E-01 7.91648838E-02 4.78123944E-02 0.126977 0.873023 2.26070140E+02 2.96204805E+01 1.97742959E+02 9.20845894E+01
3.82159607E-01 4.29247446E-01 7.91501166E-02 4.77964776E-02 0.126947 0.873053 2.25984884E+02 2.95593704E+01 1.97718814E+02 9.20604442E+01
4.44610600E-01 4.29148941E-01 7.91312716E-02 4.77761648E-02 0.126907 0.873093 2.25876088E+02 2.94813915E+01 1.97687997E+02 9.20296270E+01
5.12413606E-01 4.29025142E-01 7.91075929E-02 4.77506404E-02 0.126858 0.873142 2.25739387E+02 2.93834198E+01 1.97649267E+02 9.19908976E+01
5.85676686E-01 4.28871652E-01 7.90782429E-02 4.77190009E-02 0.126797 0.873203 2.25569949E+02 2.92619978E+01 1.97601251E+02 9.19428810E+01
6.64504465E-01 4.28683625E-01 7.90423005E-02 4.76802517E-02 0.126723 0.873277 2.25362455E+02 2.91133236E+01 1.97542431E+02 9.18840616E+01
7.48998096E-01 4.28455745E-01 7.89987573E-02 4.76333038E-02 0.126632 0.873368 2.25111089E+02 2.89332410E+01 1.97471148E+02 9.18127781E+01
8.39255216E-01 4.28182215E-01 7.89465162E-02 4.75769717E-02 0.126523 0.873477 2.24809520E+02 2.87172321E+01 1.97385588E+02 9.17272184E+01
9.35369876E-01 4.27856736E-01 7.88843890E-02 4.75099703E-02 0.126394 0.873606 2.24450895E+02 2.84604109E+01 1.97283784E+02 9.16254145E+01
1.03743247E+00 4.27472493E-01 7.88110952E-02 4.74309136E-02 0.126242 0.873758 2.24027828E+02 2.81575198E+01 1.97163608E+02 9.15052385E+01
1.14552961E+00 4.27022144E-01 7.87252609E-02 4.73383128E-02 0.126064 0.873936 2.23532397E+02 2.78029290E+01 1.97022768E+02 9.13643980E+01
1.25974409E+00 4.26497804E-01 7.86254183E-02 4.72305756E-02 0.125856 0.874144 2.22956141E+02 2.73906388E+01 1.96858803E+02 9.12004327E+01
1.38015470E+00 4.25891031E-01 7.85100064E-02 4.71060057E-02 0.125616 0.874384 2.22290065E+02 2.69142845E+01 1.96669081E+02 9.10107111E+01
1.50683617E+00 4.25192820E-01 7.83773719E-02 4.69628035E-02 0.12534 0.87466 2.21524644E+02 2.63671471E+01 1.96450797E+02 9.07924274E+01
1.63985905E+00 4.24393588E-01 7.82257711E-02 4.67990664E-02 0.125025 0.874975 2.20649835E+02 2.57421662E+01 1.96200969E+02 9.05425994E+01
1.77928966E+00 4.23483168E-01 7.80533726E-02 4.66127915E-02 0.124666 0.875334 2.19655096E+02 2.50319596E+01 1.95916436E+02 9.02580666E+01
1.92519002E+00 4.22450798E-01 7.78582615E-02 4.64018778E-02 0.12426 0.87574 2.18529405E+02 2.42288466E+01 1.95593859E+02 8.99354887E+01
2.07761787E+00 4.21285113E-01 7.76384439E-02 4.61641297E-02 0.123803 0.876197 2.17261293E+02 2.33248783E+01 1.95229715E+02 8.95713447E+01
2.23662672E+00 4.19974138E-01 7.73918536E-02 4.58972618E-02 0.123289 0.876711 2.15838874E+02 2.23118724E+01 1.94820302E+02 8.91619322E+01
2.40226599E+00 4.18505276E-01 7.71163589E-02 4.55989041E-02 0.122715 0.877285 2.14249893E+02 2.11814562E+01 1.94361737E+02 8.87033674E+01
2.57458130E+00 4.16865300E-01 7.68097716E-02 4.52666082E-02 0.122076 0.877924 2.12481768E+02 1.99251145E+01 1.93849954E+02 8.81915840E+01
2.75361481E+00 4.15040332E-01 7.64698572E-02 4.48978546E-02 0.121368 0.878632 2.10521649E+02 1.85342452E+01 1.93280704E+02 8.76223338E+01
2.93940584E+00 4.13015830E-01 7.60943454E-02 4.44900603E-02 0.120584 0.879416 2.08356476E+02 1.70002215E+01 1.92649554E+02 8.69911845E+01
3.13199164E+00 4.10776555E-01 7.56809437E-02 4.40405869E-02 0.119722 0.880278 2.05973048E+02 1.53144600E+01 1.91951888E+02 8.62935181E+01
3.33140850E+00 4.08306537E-01 7.52273503E-02 4.35467492E-02 0.118774 0.881226 2.03358092E+02 1.34684954E+01 1.91182897E+02 8.55245268E+01
3.53769316E+00 4.05589019E-01 7.47312691E-02 4.30058228E-02 0.117737 0.882263 2.00498336E+02 1.14540598E+01 1.90337576E+02 8.46792060E+01
3.75088478E+00 4.02606381E-01 7.41904253E-02 4.24150511E-02 0.116605 0.883395 1.97380579E+02 9.26316604E+00 1.89410713E+02 8.37523430E+01
