r(km) M(Msun) nb(fm^-3) Ye Ymu Yp Yn mu_n(MeV) mu_p(MeV) mu_e(MeV) mu_mu(MeV)
4.5726037539E-03 1.5634673684E-10 4.2952598698E-01 7.9203422809E-02 4.7853931123E-02 0.127057 0.872943 2.2629263987E+02 2.9779982442E+01 1.9780595746E+02 9.2147587603E+01
1.3717811262E-02 4.2213597219E-09 4.2952566732E-01 7.9203361618E-02 4.7853865174E-02 0.127057 0.872943 2.2629228658E+02 2.9779729167E+01 1.9780585745E+02 9.2147487593E+01
2.5748496843E-02 2.7915981577E-08 4.2952476132E-01 7.9203188186E-02 4.7853678260E-02 0.127057 0.872943 2.2629128528E+02 2.9779011319E+01 1.9780557399E+02 9.2147204139E+01
4.1437160694E-02 1.1634984999E-07 4.2952275034E-01 7.9202803231E-02 4.7853263380E-02 0.127056 0.872944 2.2628906276E+02 2.9777417968E+01 1.9780494483E+02 9.2146574974E+01
6.1145292661E-02 3.7383697508E-07 4.2951889337E-01 7.9202064909E-02 4.7852467664E-02 0.127055 0.872945 2.2628480011E+02 2.9774362020E+01 1.9780373812E+02 9.2145368266E+01
8.5072391373E-02 1.0068260398E-06 4.2951221899E-01 7.9200787278E-02 4.7851090709E-02 0.127052 0.872948 2.2627742378E+02 2.9769073865E+01 1.9780164995E+02 9.2143280095E+01
1.1336716450E-01 2.3825548166E-06 4.2950150744E-01 7.9198736870E-02 4.7848880894E-02 0.127048 0.872952 2.2626558589E+02 2.9760587229E+01 1.9779829870E+02 9.2139928842E+01
1.4616458148E-01 5.1061805732E-06 4.2948526889E-01 7.9195628563E-02 4.7845530914E-02 0.127041 0.872959 2.2624764032E+02 2.9747722092E+01 1.9779321826E+02 9.2134848406E+01
1.8359524334E-01 1.0118999741E-05 4.2946172150E-01 7.9191121401E-02 4.7840673275E-02 0.127032 0.872968 2.2622161862E+02 2.9729067475E+01 1.9778585118E+02 9.2127481330E+01
2.2578689769E-01 1.8820300092E-05 4.2942877005E-01 7.9184814562E-02 4.7833875933E-02 0.127019 0.872981 2.2618520679E+02 2.9702964831E+01 1.9777554199E+02 9.2117172135E+01
2.7286433323E-01 3.3215395159E-05 4.2938398519E-01 7.9176243462E-02 4.7824638072E-02 0.127001 0.872999 2.2613572271E+02 2.9667492064E+01 1.9776153068E+02 9.2103160829E+01
3.2494914630E-01 5.6092382829E-05 4.2932458305E-01 7.9164875974E-02 4.7812386007E-02 0.126977 0.873023 2.2607009448E+02 2.9620448098E+01 1.9774294641E+02 9.2084576558E+01
3.8215960658E-01 9.1230113253E-05 4.2924740534E-01 7.9150108773E-02 4.7796469196E-02 0.126947 0.873053 2.2598483927E+02 2.9559338065E+01 1.9771880124E+02 9.2060431390E+01
4.4461059977E-01 1.4363974038E-04 4.2914889974E-01 7.9131263826E-02 4.7776156406E-02 0.126907 0.873093 2.2587604323E+02 2.9481359180E+01 1.9768798408E+02 9.2029614226E+01
5.1241360594E-01 2.1984206236E-04 4.2902510078E-01 7.9107585042E-02 4.7750632016E-02 0.126858 0.873142 2.2573934215E+02 2.9383387467E+01 1.9764925472E+02 9.1990884866E+01
5.8567668649E-01 3.2818261893E-04 4.2887161123E-01 7.9078235125E-02 4.7718992527E-02 0.126797 0.873203 2.2556990355E+02 2.9261965488E+01 1.9760123809E+02 9.1942868240E+01
6.6450446527E-01 4.7918619768E-04 4.2868358396E-01 7.9042292661E-02 4.7680243278E-02 0.126723 0.873277 2.2536240995E+02 2.9113291293E+01 1.9754241869E+02 9.1884048836E+01
7.4899809638E-01 6.8595199244E-04 4.2845570452E-01 7.8998749493E-02 4.7633295441E-02 0.126632 0.873368 2.2511104399E+02 2.8933208815E+01 1.9747113521E+02 9.1812765356E+01
